iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","ParaBank – E2E Customer Lifecycle","Get Accounts – By Customer ID","GET","GET http://parabank.parasoft.com/parabank/services/bank/customers/12212/accounts",,,,,"Account info returned","Status code is 200",,"2","1","1","0"
"1","ParaBank – E2E Customer Lifecycle","Verify Customer Deleted.","GET","http://parabank.parasoft.com/parabank/services/bank/customers/12212","OK","200","492","310",,"Customer no longer exists, Response time is less than 400ms",,"2","0","2","0"
"1","ParaBank – E2E Customer Lifecycle","Delete Customer – Non Existing","DELETE","http://parabank.parasoft.com/parabank/services/bank/customers/999999","Bad Request","400","268","31","Status code should indicate resource not found, Response time is acceptable, Error message should be present, Content-Type header exists",,,"4","4","0","0"
"1","ParaBank – E2E Customer Lifecycle","POST /customers (Not supported by public ParaBank – Mock Only)","POST","http://parabank.parasoft.com/parabank/services/bank/customers","Not Found","404","268","0","Endpoint is not supported on public ParaBank server",,,"1","1","0","0"
"1","ParaBank – E2E Customer Lifecycle","POST /login (MOCKED / DEMO ONLY – Not supported by ParaBank)","POST","http://parabank.parasoft.com/parabank/services/bank/login ","Not Found","404","228","0","Endpoint is not supported on public ParaBank server",,,"1","1","0","0"
"1","ParaBank – E2E Customer Lifecycle","Update Customer – MOCKED / DEMO ONLY","PUT","http://parabank.parasoft.com/parabank/services/bank/customers/12212","OK","200","212","310",,"Endpoint not supported on public server",,"1","0","1","0"
"1","ParaBank – E2E Customer Lifecycle","Delete Customer – MOCKED / Not Supported","DELETE","http://parabank.parasoft.com/parabank/services/bank/customers/12212","OK","200","216","310",,"Endpoint is not supported on public ParaBank server",,"1","0","1","0"
"1","ParaBank – E2E Customer Lifecycle","Create Customer – Missing Required Fields (MOCKED / Not Supported)","POST","http://parabank.parasoft.com/parabank/services/bank/customers","Not Found","404","212","0","Endpoint not supported on public server",,,"1","1","0","0"
"1","ParaBank – E2E Customer Lifecycle","Login – Invalid Credentials (MOCKED / Not Supported)","POST","http://parabank.parasoft.com/parabank/services/bank/login","Not Found","404","251","0","Endpoint not supported on public ParaBank server",,,"1","1","0","0"
"1","ParaBank – E2E Customer Lifecycle","Get Accounts – Unauthorized Access (MOCKED / Not Supported)","GET","http://parabank.parasoft.com/parabank/services/bank/customers/12212/accounts","OK","200","217","496",,"Endpoint does not support authentication (expected 404)",,"1","0","1","0"
"1","ParaBank – E2E Customer Lifecycle","Update Customer – Invalid Data (MOCKED / Not Supported)","PUT","http://parabank.parasoft.com/parabank/services/bank/customers/12212","OK","200","238","310",,"Endpoint not supported on public ParaBank server",,"1","0","1","0"
